,,Global Accuracy,Global Macro F1,Global Micro F1,Global Macro Precision,Global Micro Precision,Global Macro Recall,Global Micro Recall,Global Kappa,F1-W,F1-N1,F1-N2,F1-N3,F1-REM,F1-mean,Precision-W,Precision-N1,Precision-N2,Precision-N3,Precision-REM,Precision-mean,Recall/Sens.-W,Recall/Sens.-N1,Recall/Sens.-N2,Recall/Sens.-N3,Recall/Sens.-REM,Recall/Sens.-mean,True W-Pred W,True W-Pred N1,True W-Pred N2,True W-Pred N3,True W-Pred REM,True N1-Pred W,True N1-Pred N1,True N1-Pred N2,True N1-Pred N3,True N1-Pred REM,True N2-Pred W,True N2-Pred N1,True N2-Pred N2,True N2-Pred N3,True N2-Pred REM,True N3-Pred W,True N3-Pred N1,True N3-Pred N2,True N3-Pred N3,True N3-Pred REM,True REM-Pred W,True REM-Pred N1,True REM-Pred N2,True REM-Pred N3,True REM-Pred REM
USLEEP_NSRR2022,abc,0.857,0.832,0.857,0.856,0.857,0.816,0.857,0.802,0.8837056756019592,0.6944628953933716,0.7335138916969299,0.821633517742157,0.9480515122413636,0.8162735104560852,0.8621424436569214,0.8423260450363159,0.6087380647659302,0.9770153164863586,0.945159912109375,0.847076416015625,0.906375288963318,0.5907600522041321,0.9226294755935668,0.7088931798934937,0.9509608745574952,0.8159238696098328,0.906375300721732,0.0543303929430633,0.0268644747393745,0.0012028869286287,0.0112269446672012,0.1254843517138599,0.5907600596125187,0.2506706408345752,0.0,0.0330849478390462,0.0083406496927129,0.0426909569798068,0.9226294995610184,0.0154741000877963,0.0108647936786654,0.0044785668586052,0.000639795265515,0.2859884836852207,0.708893154190659,0.0,0.0066269052352551,0.0129224652087475,0.0294897282968853,0.0,0.950960901259112
USLEEP_NSRR2022,apoe,0.747,0.683,0.747,0.708,0.747,0.742,0.747,0.642,0.8609973192214966,0.4107406735420227,0.60386061668396,0.8650255799293518,0.882847785949707,0.7246943712234497,0.9049328565597534,0.7834951877593994,0.5074809193611145,0.8015571236610413,0.8439974188804626,0.7682927250862122,0.8211304545402527,0.2783251106739044,0.7454311847686768,0.9394093751907348,0.9254474639892578,0.7419487237930298,0.8211304807184363,0.0551505546751188,0.0963021658742736,0.0049128367670364,0.0225039619651347,0.0739901477832512,0.2783251231527093,0.507487684729064,0.0048275862068965,0.1353694581280788,0.0057436254460012,0.0135105734922983,0.7454312070315899,0.2221303628926986,0.0131842311374118,0.0008486082824168,0.0,0.0597420230821452,0.939409368635438,0.0,0.00568093385214,0.008249027237354,0.0599221789883268,0.0007003891050583,0.9254474708171206
USLEEP_NSRR2022,apples,0.777,0.67,0.777,0.693,0.777,0.76,0.777,0.682,0.8715084791183472,0.416742593050003,0.6426710486412048,0.8723384141921997,0.9080233573913574,0.742256760597229,0.8369258642196655,0.8073419332504272,0.5326356291770935,0.8550519943237305,0.9062634110450744,0.7876437902450562,0.9090722799301147,0.2808599770069122,0.8100078701972961,0.8903381824493408,0.9097900390625,0.7600136995315552,0.9090722748329438,0.0248841880867462,0.0571885376952404,0.0004919444102816,0.0083630549747878,0.1346944664887093,0.2808599668133612,0.5055912271841858,0.0025250703412452,0.0763292691724983,0.0103459934633156,0.0229460160036064,0.8100078891017695,0.1477741462864871,0.0089259551448213,0.0144927536231884,0.0,0.0946859903381642,0.8903381642512077,0.0004830917874396,0.0175985588581722,0.0191921291484791,0.0532806762280884,0.0001385713295919,0.9097900644356682
USLEEP_NSRR2022,ccshs,0.92,0.866,0.92,0.869,0.92,0.864,0.92,0.89,0.9119426608085632,0.7672007083892822,0.8254060745239258,0.90033358335495,0.9006233215332031,0.8611013293266296,0.8598447442054749,0.9444906711578368,0.7426835894584656,0.961785614490509,0.8765352368354797,0.8770679235458374,0.9707610011100768,0.6459497213363647,0.9288661479949952,0.8462626934051514,0.9260727167129515,0.86358243227005,0.970761001542349,0.011813736750566,0.0122731598464214,0.0021330358021855,0.0030190660584779,0.125,0.645949720670391,0.1173184357541899,0.0,0.1117318435754189,0.0106321038908437,0.0134420170619952,0.9288661620636408,0.0314912791433562,0.015568437840164,0.0048600430636727,6.151953245155337e-05,0.1486927099354044,0.8462626884035681,0.0001230390649031,0.0177425443563608,0.012646281615704,0.0435384421794387,0.0,0.9260727318484964
USLEEP_NSRR2022,cfs,0.903,0.822,0.903,0.834,0.903,0.813,0.903,0.861,0.8712729811668396,0.6450919508934021,0.7645854949951172,0.8532483577728271,0.8969460725784302,0.8062289953231812,0.7919009923934937,0.9111666679382324,0.6595727801322937,0.9607272148132324,0.874879777431488,0.839649498462677,0.9683282375335692,0.499291181564331,0.9093691110610962,0.7673977613449097,0.9201542735099792,0.8129080533981323,0.9683282569398014,0.0153282321769061,0.0130748087066339,0.0002971547433325,0.0029715474333259,0.2163311596257442,0.4992911823079104,0.1794726396370853,0.0,0.1049050184292599,0.0189996661844887,0.0199732947590964,0.9093690886836542,0.031072660509625,0.0205852898631356,0.0021437994722955,8.245382585751979e-05,0.2272427440633245,0.7673977572559367,0.0031332453825857,0.0169867060561299,0.0132939438700147,0.0495650746758575,0.0,0.9201542753979975
USLEEP_NSRR2022,chat,0.889,0.852,0.889,0.862,0.889,0.845,0.889,0.853,0.935422956943512,0.7081319093704224,0.7674648761749268,0.9012545347213744,0.9034854769706726,0.8431519269943237,0.9079816937446594,0.8876724243164062,0.6653397083282471,0.9535239338874816,0.8966239094734192,0.862228274345398,0.964574694633484,0.5890007019042969,0.9066258072853088,0.8544178009033203,0.9104528427124025,0.8450143933296204,0.964574716777558,0.0231458884578827,0.0045726616487271,0.0013615228504636,0.0063452102653685,0.0838670326318999,0.5890007115990648,0.2501778997661888,0.0022364542035173,0.074717901799329,0.0053637713437268,0.0262249443207126,0.9066258351893096,0.0380475129918337,0.0237379361544172,0.0018881626724763,0.0012345679012345,0.1422900024207213,0.8544178165093198,0.0001694504962478,0.0066347059327112,0.023927745912165,0.0589846759695231,0.0,0.9104528721856006
USLEEP_NSRR2022,dcsm,0.867,0.772,0.867,0.794,0.867,0.765,0.867,0.774,0.8080108761787415,0.5921650528907776,0.6963876485824585,0.804232120513916,0.9047835469245912,0.7611158490180969,0.7288368344306946,0.8461973071098328,0.5787151455879211,0.9707407355308532,0.904599905014038,0.8058179616928101,0.906482756137848,0.4554399251937866,0.8741274476051331,0.6864816546440125,0.9049673080444336,0.7654998302459717,0.9064827593992816,0.0030086732202681,0.0875027165553231,0.0003782009488892,0.0026276498762379,0.2819772942289498,0.4554399243140965,0.1956953642384106,0.0002838221381267,0.0666035950804162,0.0200306121546179,0.0648959983012908,0.8741274208817362,0.0152883824218991,0.0256575862404558,0.0064394894241125,0.0004812429818731,0.306047620138873,0.6864816554758576,0.0005499919792836,0.0288087814462051,0.0143937128945457,0.0470892239354204,0.0047409558792124,0.9049673258446164
USLEEP_NSRR2022,homepap,0.822,0.774,0.822,0.786,0.822,0.775,0.822,0.757,0.8899600505828857,0.493290901184082,0.6606389284133911,0.8780401945114136,0.9263253211975098,0.7696511149406433,0.9264140129089355,0.7725924849510193,0.5278233289718628,0.9030792117118835,0.931831955909729,0.8123482465744019,0.856266438961029,0.3623110055923462,0.8827690482139587,0.8543521761894226,0.9208833575248718,0.7753164172172546,0.8562664329535495,0.0762489044697633,0.0440159703963384,0.0002921413964358,0.0231765507839127,0.0548056155507559,0.3623110151187905,0.5475161987041036,0.0013498920086393,0.0340172786177105,0.0040534096328087,0.0129550151009378,0.8827690351295502,0.0900492767445557,0.0101732633921475,0.0014363688595231,0.0002872737719046,0.1439241597242171,0.8543521976443551,0.0,0.0077186963979416,0.0171526586620926,0.0542452830188679,0.0,0.9208833619210978
USLEEP_NSRR2022,mesa,0.869,0.782,0.869,0.808,0.869,0.767,0.869,0.808,0.891444742679596,0.5931262969970703,0.6682601571083069,0.7441587448120117,0.9194471836090088,0.7632874250411987,0.8469365835189819,0.881291925907135,0.5308564901351929,0.9358832836151124,0.9088958501815796,0.8207728266716003,0.9408904314041138,0.4469742476940155,0.9016334414482116,0.617631196975708,0.9302462935447692,0.7674751281738281,0.9408904337536516,0.0146248567096845,0.0326517028436194,0.0008135192101468,0.0110194874828976,0.1343119632514479,0.4469742360695027,0.3464150189734372,0.0003994407829039,0.0718993409227082,0.0185265490989688,0.0285487135010118,0.901633420063602,0.0411005107449166,0.0101908065915004,0.0028263795423956,0.0,0.3794078061911171,0.6176312247644684,0.0001345895020188,0.0143784102639728,0.017032886005014,0.0383424273705943,0.0,0.9302462763604188
USLEEP_NSRR2022,mnc_cnc,0.787,0.739,0.787,0.767,0.787,0.755,0.787,0.717,0.805067241191864,0.4322267472743988,0.71724534034729,0.8825725317001343,0.8348621726036072,0.7343948483467102,0.6941624879837036,0.8238129615783691,0.6299672722816467,0.898849606513977,0.844250500202179,0.7782086133956909,0.9581483602523804,0.29296875,0.8325963616371155,0.8668744564056396,0.8256802558898926,0.7552536725997925,0.958148383005707,0.0088776157260621,0.020291693088142,0.0050729232720355,0.0076093849080532,0.2962239583333333,0.29296875,0.2942708333333333,0.0013020833333333,0.115234375,0.021899347230996,0.0248473362813223,0.8325963360707518,0.091177089913666,0.0294798905032638,0.0062333036509349,0.0004452359750667,0.126447016918967,0.8668744434550312,0.0,0.0977891156462585,0.0284863945578231,0.0480442176870748,0.0,0.8256802721088435
